"populationSize"	"iterationsQuantity"	"problemSize"	"tournamentSize"	"crossoverProbability"	"mutationProbability"
"100"	"200"	"20"	""	"20"	"10"
"populationNumber"	"strong"	"avg"	"weak"
"0"	"256"	"378"	"563"
"1"	"256"	"361"	"493"
"2"	"238"	"357"	"486"
"3"	"238"	"354"	"490"
"4"	"238"	"350"	"495"
"5"	"237"	"342"	"495"
"6"	"237"	"331"	"490"
"7"	"237"	"327"	"490"
"8"	"237"	"309"	"425"
"9"	"237"	"301"	"448"
"10"	"237"	"298"	"448"
"11"	"237"	"293"	"408"
"12"	"223"	"287"	"424"
"13"	"223"	"283"	"424"
"14"	"223"	"282"	"426"
"15"	"223"	"275"	"359"
"16"	"220"	"266"	"381"
"17"	"220"	"266"	"372"
"18"	"220"	"265"	"372"
"19"	"220"	"263"	"372"
"20"	"220"	"261"	"372"
"21"	"220"	"260"	"372"
"22"	"220"	"259"	"403"
"23"	"220"	"264"	"403"
"24"	"209"	"258"	"403"
"25"	"209"	"258"	"369"
"26"	"209"	"260"	"342"
"27"	"209"	"262"	"342"
"28"	"193"	"259"	"352"
"29"	"193"	"255"	"344"
"30"	"193"	"247"	"344"
"31"	"193"	"244"	"344"
"32"	"193"	"239"	"333"
"33"	"193"	"235"	"297"
"34"	"191"	"228"	"297"
"35"	"191"	"227"	"297"
"36"	"182"	"229"	"276"
"37"	"180"	"224"	"277"
"38"	"173"	"224"	"291"
"39"	"173"	"217"	"291"
"40"	"173"	"218"	"290"
"41"	"173"	"219"	"313"
"42"	"173"	"219"	"313"
"43"	"173"	"222"	"313"
"44"	"173"	"222"	"313"
"45"	"173"	"220"	"313"
"46"	"173"	"216"	"310"
"47"	"173"	"212"	"297"
"48"	"173"	"219"	"315"
"49"	"173"	"220"	"333"
"50"	"173"	"215"	"319"
"51"	"169"	"216"	"319"
"52"	"167"	"213"	"319"
"53"	"167"	"208"	"272"
"54"	"167"	"207"	"272"
"55"	"167"	"208"	"287"
"56"	"167"	"209"	"287"
"57"	"167"	"203"	"287"
"58"	"165"	"201"	"287"
"59"	"165"	"199"	"287"
"60"	"160"	"199"	"265"
"61"	"160"	"200"	"300"
"62"	"160"	"200"	"265"
"63"	"157"	"199"	"265"
"64"	"157"	"200"	"265"
"65"	"157"	"200"	"269"
"66"	"157"	"203"	"274"
"67"	"157"	"202"	"327"
"68"	"155"	"204"	"327"
"69"	"153"	"198"	"327"
"70"	"153"	"196"	"327"
"71"	"153"	"191"	"327"
"72"	"153"	"196"	"333"
"73"	"153"	"192"	"327"
"74"	"153"	"191"	"274"
"75"	"153"	"189"	"266"
"76"	"153"	"189"	"302"
"77"	"153"	"190"	"302"
"78"	"153"	"188"	"299"
"79"	"153"	"188"	"265"
"80"	"153"	"188"	"300"
"81"	"153"	"189"	"300"
"82"	"153"	"188"	"320"
"83"	"153"	"190"	"273"
"84"	"153"	"187"	"280"
"85"	"153"	"189"	"264"
"86"	"153"	"190"	"264"
"87"	"153"	"188"	"390"
"88"	"145"	"181"	"287"
"89"	"145"	"180"	"269"
"90"	"145"	"180"	"269"
"91"	"145"	"173"	"233"
"92"	"145"	"176"	"285"
"93"	"138"	"176"	"252"
"94"	"138"	"176"	"279"
"95"	"138"	"172"	"261"
"96"	"138"	"173"	"281"
"97"	"138"	"174"	"281"
"98"	"138"	"175"	"294"
"99"	"138"	"172"	"266"
"100"	"138"	"168"	"262"
"101"	"138"	"168"	"289"
"102"	"138"	"165"	"284"
"103"	"138"	"161"	"229"
"104"	"138"	"160"	"229"
"105"	"133"	"163"	"272"
"106"	"133"	"163"	"272"
"107"	"133"	"159"	"248"
"108"	"133"	"158"	"245"
"109"	"133"	"158"	"270"
"110"	"133"	"154"	"265"
"111"	"133"	"160"	"265"
"112"	"133"	"165"	"293"
"113"	"133"	"160"	"291"
"114"	"133"	"157"	"265"
"115"	"133"	"159"	"293"
"116"	"133"	"158"	"267"
"117"	"133"	"155"	"290"
"118"	"133"	"155"	"290"
"119"	"133"	"151"	"205"
"120"	"133"	"155"	"254"
"121"	"133"	"153"	"254"
"122"	"133"	"149"	"276"
"123"	"131"	"145"	"222"
"124"	"131"	"144"	"205"
"125"	"131"	"150"	"335"
"126"	"131"	"146"	"220"
"127"	"131"	"148"	"275"
"128"	"131"	"146"	"220"
"129"	"130"	"143"	"182"
"130"	"130"	"143"	"204"
"131"	"130"	"145"	"228"
"132"	"130"	"143"	"255"
"133"	"130"	"144"	"254"
"134"	"130"	"140"	"189"
"135"	"130"	"141"	"201"
"136"	"130"	"141"	"186"
"137"	"130"	"142"	"188"
"138"	"130"	"144"	"188"
"139"	"130"	"145"	"271"
"140"	"130"	"145"	"263"
"141"	"130"	"151"	"263"
"142"	"130"	"150"	"302"
"143"	"130"	"147"	"302"
"144"	"130"	"146"	"216"
"145"	"130"	"145"	"344"
"146"	"130"	"142"	"344"
"147"	"130"	"141"	"219"
"148"	"130"	"143"	"292"
"149"	"128"	"143"	"253"
"150"	"128"	"146"	"275"
"151"	"128"	"145"	"275"
"152"	"128"	"142"	"275"
"153"	"124"	"144"	"320"
"154"	"124"	"145"	"329"
"155"	"124"	"141"	"239"
"156"	"124"	"139"	"204"
"157"	"124"	"141"	"232"
"158"	"124"	"142"	"232"
"159"	"123"	"140"	"232"
"160"	"123"	"140"	"232"
"161"	"123"	"142"	"203"
"162"	"123"	"143"	"257"
"163"	"123"	"142"	"257"
"164"	"123"	"139"	"257"
"165"	"123"	"135"	"203"
"166"	"123"	"136"	"204"
"167"	"123"	"136"	"219"
"168"	"123"	"135"	"191"
"169"	"123"	"136"	"256"
"170"	"123"	"135"	"256"
"171"	"120"	"142"	"277"
