"populationSize"	"iterationsQuantity"	"problemSize"
"1000"	"100"	"12"
"populationNumber"	"strong"	"avg"	"weak"
"1"	"82"	"158"	"249"
"2"	"89"	"155"	"236"
"3"	"84"	"157"	"249"
"4"	"72"	"157"	"247"
"5"	"82"	"157"	"258"
"6"	"80"	"157"	"252"
"7"	"89"	"157"	"251"
"8"	"83"	"156"	"255"
"9"	"80"	"156"	"243"
"10"	"79"	"157"	"242"
"11"	"82"	"156"	"261"
"12"	"77"	"159"	"256"
"13"	"63"	"158"	"266"
"14"	"80"	"157"	"249"
"15"	"74"	"158"	"255"
"16"	"76"	"156"	"252"
"17"	"80"	"157"	"271"
"18"	"78"	"157"	"257"
"19"	"81"	"158"	"246"
"20"	"79"	"157"	"265"
"21"	"83"	"157"	"252"
"22"	"73"	"158"	"273"
"23"	"82"	"157"	"244"
"24"	"81"	"157"	"263"
"25"	"75"	"156"	"253"
"26"	"74"	"159"	"259"
"27"	"78"	"157"	"251"
"28"	"83"	"158"	"273"
"29"	"84"	"158"	"261"
"30"	"78"	"157"	"249"
"31"	"70"	"157"	"261"
"32"	"75"	"156"	"261"
"33"	"80"	"157"	"259"
"34"	"83"	"157"	"258"
"35"	"77"	"157"	"239"
"36"	"80"	"156"	"247"
"37"	"82"	"158"	"259"
"38"	"90"	"156"	"259"
"39"	"78"	"156"	"236"
"40"	"88"	"157"	"254"
"41"	"85"	"157"	"233"
"42"	"78"	"156"	"247"
"43"	"65"	"154"	"242"
"44"	"86"	"157"	"244"
"45"	"80"	"157"	"248"
"46"	"73"	"156"	"258"
"47"	"77"	"158"	"252"
"48"	"87"	"158"	"267"
"49"	"67"	"157"	"251"
"50"	"79"	"155"	"260"
"51"	"93"	"156"	"249"
"52"	"75"	"158"	"248"
"53"	"89"	"157"	"246"
"54"	"73"	"156"	"249"
"55"	"71"	"156"	"264"
"56"	"88"	"158"	"257"
"57"	"69"	"155"	"252"
"58"	"77"	"155"	"267"
"59"	"75"	"159"	"257"
"60"	"84"	"157"	"244"
"61"	"74"	"157"	"244"
"62"	"83"	"158"	"231"
"63"	"78"	"159"	"249"
"64"	"80"	"156"	"249"
"65"	"88"	"157"	"249"
"66"	"73"	"157"	"257"
"67"	"81"	"157"	"265"
"68"	"76"	"157"	"254"
"69"	"81"	"157"	"251"
"70"	"76"	"156"	"241"
"71"	"85"	"156"	"272"
"72"	"80"	"158"	"251"
"73"	"69"	"156"	"242"
"74"	"66"	"155"	"250"
"75"	"75"	"158"	"255"
"76"	"73"	"156"	"236"
"77"	"74"	"157"	"247"
"78"	"84"	"157"	"243"
"79"	"72"	"156"	"254"
"80"	"72"	"157"	"258"
"81"	"75"	"156"	"251"
"82"	"64"	"155"	"264"
"83"	"77"	"158"	"243"
"84"	"78"	"156"	"236"
"85"	"70"	"156"	"246"
"86"	"69"	"155"	"244"
"87"	"82"	"158"	"253"
"88"	"83"	"157"	"258"
"89"	"76"	"159"	"248"
"90"	"84"	"155"	"261"
"91"	"82"	"158"	"246"
"92"	"78"	"157"	"256"
"93"	"76"	"155"	"238"
"94"	"90"	"158"	"274"
"95"	"72"	"157"	"258"
"96"	"81"	"157"	"282"
"97"	"71"	"155"	"247"
"98"	"83"	"156"	"269"
"99"	"73"	"156"	"252"
"100"	"88"	"155"	"253"
